Data;INCC-Brasil-M-Todos os itens(1465235);INCC-Brasil-DI-Todos os itens(1464783)
07/1996;149.224;149.095
08/1996;150.334;149.445
09/1996;150.564;149.772
10/1996;150.915;150.157
11/1996;151.345;151.035
12/1996;152.079;151.922
01/1997;153.107;152.408
02/1997;153.588;153.147
03/1997;154.228;154.260
04/1997;155.358;154.616
05/1997;155.823;155.953
06/1997;157.373;157.687
07/1997;158.855;158.485
08/1997;159.724;160.352
09/1997;161.604;160.780
10/1997;161.953;161.024
11/1997;162.317;161.897
12/1997;163.165;162.271
01/1998;163.644;162.805
02/1998;164.428;163.593
03/1998;164.935;164.361
04/1998;164.169;163.535
05/1998;164.933;165.133
06/1998;166.356;165.781
07/1998;167.063;166.345
08/1998;167.554;166.705
09/1998;167.698;166.729
10/1998;167.780;166.738
11/1998;167.662;166.657
12/1998;167.652;166.733
01/1999;168.008;167.648
02/1999;169.054;169.288
03/1999;170.587;170.221
04/1999;171.584;171.100
05/1999;172.233;172.578
06/1999;173.750;173.279
07/1999;174.466;174.074
08/1999;175.370;175.280
09/1999;176.824;176.785
10/1999;178.217;178.574
11/1999;180.382;180.207
12/1999;181.839;182.084
01/2000;183.929;184.039
02/2000;185.572;185.461
03/2000;187.092;186.492
04/2000;188.389;187.604
05/2000;189.463;190.136
06/2000;191.521;191.527
07/2000;193.104;192.104
08/2000;193.786;192.846
09/2000;194.365;193.342
10/2000;194.914;193.984
11/2000;195.488;194.789
12/2000;196.450;196.037
01/2001;197.233;197.174
02/2001;198.325;197.849
03/2001;198.996;198.388
04/2001;199.545;199.112
05/2001;203.530;203.321
06/2001;204.931;205.682
07/2001;207.117;206.742
08/2001;208.272;208.026
09/2001;209.510;209.174
10/2001;211.431;211.122
11/2001;212.700;212.676
12/2001;214.194;213.393
01/2002;215.058;214.162
02/2002;215.734;215.399
03/2002;217.554;216.577
04/2002;218.259;217.288
05/2002;223.644;222.793
06/2002;224.117;224.054
07/2002;225.529;224.712
08/2002;227.376;226.968
09/2002;228.913;228.576
10/2002;230.787;231.167
11/2002;235.843;236.830
12/2002;240.868;240.861
01/2003;244.354;244.489
02/2003;248.262;247.898
03/2003;251.695;251.318
04/2003;253.744;253.585
05/2003;261.311;260.778
06/2003;263.244;263.516
07/2003;264.785;266.132
08/2003;270.623;269.967
09/2003;271.284;270.555
10/2003;272.552;272.325
11/2003;273.706;275.152
12/2003;276.424;275.594
01/2004;277.201;276.490
02/2004;278.521;279.243
03/2004;282.956;282.470
04/2004;284.665;284.128
05/2004;289.627;289.317
06/2004;291.239;291.348
07/2004;294.509;294.625
08/2004;297.162;297.003
09/2004;299.140;298.722
10/2004;301.975;302.275
11/2004;304.810;304.429
12/2004;306.655;305.974
01/2005;308.802;308.284
02/2005;310.105;309.646
03/2005;312.300;311.733
04/2005;313.497;313.977
05/2005;315.200;320.524
06/2005;322.150;322.974
07/2005;324.236;323.332
08/2005;324.394;323.382
09/2005;324.575;324.164
10/2005;325.485;324.782
11/2005;326.416;325.703
12/2005;327.645;326.915
01/2006;328.427;328.042
02/2006;329.360;328.651
03/2006;330.108;329.320
04/2006;330.787;330.501
05/2006;333.459;334.867
06/2006;338.302;337.892
07/2006;340.232;339.484
08/2006;341.438;340.283
09/2006;341.731;340.670
10/2006;342.352;341.369
11/2006;343.137;342.159
12/2006;344.171;343.401
01/2007;345.713;344.943
02/2007;346.629;345.682
03/2007;347.227;346.617
04/2007;348.729;348.194
05/2007;350.631;352.204
06/2007;356.503;355.456
07/2007;357.269;356.545
08/2007;358.534;357.467
09/2007;359.916;359.276
10/2007;361.672;361.102
11/2007;363.397;362.403
12/2007;364.972;364.525
01/2008;366.471;365.906
02/2008;368.062;367.382
03/2008;370.251;369.812
04/2008;373.302;373.031
05/2008;377.419;380.582
06/2008;387.512;387.906
07/2008;393.018;393.556
08/2008;398.015;398.202
09/2008;401.797;401.975
10/2008;405.212;405.090
11/2008;407.860;407.109
12/2008;408.765;407.807
01/2009;409.811;409.166
02/2009;411.249;410.262
03/2009;410.569;409.216
04/2009;410.531;409.042
05/2009;411.570;414.742
06/2009;417.860;417.657
07/2009;419.422;418.757
08/2009;419.468;418.528
09/2009;419.758;419.147
10/2009;420.298;419.405
11/2009;421.070;420.635
12/2009;421.908;421.051
01/2010;424.094;423.740
02/2010;425.590;425.268
03/2010;427.498;428.476
04/2010;432.491;432.079
05/2010;436.499;439.914
06/2010;444.243;444.718
07/2010;446.992;446.688
08/2010;447.996;447.296
09/2010;448.892;448.222
10/2010;449.587;449.103
11/2010;451.215;450.763
12/2010;453.876;453.766
01/2011;455.562;455.619
02/2011;457.333;456.917
03/2011;459.360;458.887
04/2011;462.793;463.766
05/2011;472.203;477.405
06/2011;478.935;479.183
07/2011;481.768;481.330
08/2011;482.518;481.966
09/2011;483.199;482.658
10/2011;484.185;483.758
11/2011;486.610;487.221
12/2011;488.298;487.749
01/2012;491.549;492.106
02/2012;493.608;493.584
03/2012;495.433;496.079
04/2012;499.548;499.791
05/2012;506.020;509.184
06/2012;512.628;512.903
07/2012;516.963;516.318
08/2012;518.616;517.657
09/2012;519.681;518.816
10/2012;520.940;519.907
11/2012;522.136;521.638
12/2012;523.624;522.474
01/2013;525.651;525.850
02/2013;529.879;529.029
03/2013;531.339;531.691
04/2013;535.777;535.601
05/2013;542.402;547.655
06/2013;553.007;553.948
07/2013;557.040;556.600
08/2013;558.777;558.340
09/2013;561.203;560.767
10/2013;563.034;562.241
11/2013;564.558;564.201
12/2013;565.786;564.765
01/2014;569.745;569.720
02/2014;572.254;571.577
03/2014;573.505;573.156
04/2014;577.322;578.224
05/2014;585.207;590.099
06/2014;592.510;594.013
07/2014;597.251;598.441
08/2014;598.387;598.898
09/2014;599.333;599.823
10/2014;600.549;600.865
11/2014;602.360;603.524
12/2014;603.895;604.026
01/2015;608.131;609.568
02/2015;611.188;611.447
03/2015;613.374;615.248
04/2015;617.360;618.060
05/2015;620.121;623.951
06/2015;631.747;635.403
07/2015;635.935;638.880
08/2015;641.019;642.644
09/2015;642.407;644.046
10/2015;644.123;646.355
11/2015;646.721;648.542
12/2015;647.492;649.216
01/2016;649.592;651.759
02/2016;652.975;655.263
03/2016;658.149;659.446
04/2016;660.853;663.057
05/2016;662.089;663.610
06/2016;672.156;676.420
07/2016;679.469;679.751
08/2016;681.230;681.756
09/2016;683.764;684.025
10/2016;684.955;685.489
11/2016;686.118;686.607
12/2016;688.610;688.985
01/2017;690.614;691.792
02/2017;694.258;696.314
03/2017;696.782;697.410
04/2017;696.216;697.244
05/2017;697.117;701.664
06/2017;706.596;708.197
07/2017;708.135;710.355
08/2017;710.954;712.884
09/2017;711.971;713.330
10/2017;713.354;715.527
11/2017;715.318;717.751
12/2017;716.287;718.276
01/2018;718.303;720.495
02/2018;719.332;721.414
03/2018;720.953;723.163
04/2018;722.983;725.245
05/2018;725.186;726.923
06/2018;730.710;733.984
